GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
client,org.skarb.log.pile.client.post.util.log,JavaUtilLogHandler,12,165,3,5,8,38,5,6,2,5
client,org.skarb.log.pile.client.post.util.log,JavaUtilLogHandler.MyLogManager,5,72,0,8,4,24,0,10,0,6
client,org.skarb.log.pile.client.util,ClientConstantes,3,0,0,0,1,0,1,0,1,0
client,org.skarb.log.pile.client.util,Joiner.new Joiner() {...},10,21,0,2,2,2,2,3,2,2
client,org.skarb.log.pile.client.util,Joiner,15,138,2,4,3,29,3,19,1,18
client,org.skarb.log.pile.client.util,Joiner.new AbstractList() {...},7,26,1,2,1,5,1,4,0,3
client,org.skarb.log.pile.client.util,JavaUtilLogData,18,82,4,6,3,26,3,12,0,10
client,org.skarb.log.pile.client.util,Joiner.MapJoiner,18,122,1,3,4,26,3,10,2,9
client,org.skarb.log.pile.client.util,LogpileException,6,9,0,0,2,4,1,2,1,2
client,org.skarb.log.pile.client.util,Joiner.new Joiner() {...},11,48,2,6,3,13,4,4,2,2
client,org.skarb.log.pile.client.post.logback,LogbackAppender,0,128,0,8,0,35,0,11,0,7
client,org.skarb.log.pile.client.event,Event,0,38,0,0,0,16,0,11,0,11
client,org.skarb.log.pile.client.post.log4j,Log4JAppender,0,89,2,6,0,22,2,7,0,5
client,org.skarb.log.pile.client.post.engine.rest,EngineRest,16,116,1,9,3,27,1,11,0,7
client,org.skarb.log.pile.client.post.engine.rest,HttpConnector.Method,5,33,0,0,0,2,1,3,1,3
client,org.skarb.log.pile.client.post.engine.rest,HttpConnector,122,240,22,22,4,57,14,15,0,6
client,org.skarb.log.pile.client.post.engine.rest,HttpConnector.new Object() {...},2,17,0,0,0,1,0,1,0,1
